Agente,Episodio,Recompensa,Passos
Alpha=0.1 (Lento),1,213.1370849898476,35
Alpha=0.1 (Lento),2,213.1370849898476,65
Alpha=0.1 (Lento),3,213.1370849898476,33
Alpha=0.1 (Lento),4,213.1370849898476,21
Alpha=0.1 (Lento),5,213.1370849898476,17
Alpha=0.1 (Lento),6,213.1370849898476,22
Alpha=0.1 (Lento),7,213.1370849898476,32
Alpha=0.1 (Lento),8,213.1370849898476,33
Alpha=0.1 (Lento),9,213.1370849898476,19
Alpha=0.1 (Lento),10,213.1370849898476,22
Alpha=0.1 (Lento),11,213.1370849898476,23
Alpha=0.1 (Lento),12,213.1370849898476,16
Alpha=0.1 (Lento),13,213.1370849898476,19
Alpha=0.1 (Lento),14,213.1370849898476,13
Alpha=0.1 (Lento),15,213.1370849898476,13
Alpha=0.1 (Lento),16,213.1370849898476,16
Alpha=0.1 (Lento),17,213.1370849898476,16
Alpha=0.1 (Lento),18,213.1370849898476,13
Alpha=0.1 (Lento),19,213.1370849898476,25
Alpha=0.1 (Lento),20,213.1370849898476,35
Alpha=0.1 (Lento),21,213.1370849898476,19
Alpha=0.1 (Lento),22,213.1370849898476,14
Alpha=0.1 (Lento),23,213.1370849898476,17
Alpha=0.1 (Lento),24,213.1370849898476,15
Alpha=0.1 (Lento),25,213.1370849898476,79
Alpha=0.1 (Lento),26,213.1370849898476,15
Alpha=0.1 (Lento),27,213.1370849898476,49
Alpha=0.1 (Lento),28,213.1370849898476,65
Alpha=0.1 (Lento),29,213.1370849898476,65
Alpha=0.1 (Lento),30,213.1370849898476,35
Alpha=0.1 (Lento),31,213.1370849898476,60
Alpha=0.1 (Lento),32,213.1370849898476,43
Alpha=0.1 (Lento),33,213.1370849898476,45
Alpha=0.1 (Lento),34,213.1370849898476,17
Alpha=0.1 (Lento),35,213.1370849898476,40
Alpha=0.1 (Lento),36,213.1370849898476,28
Alpha=0.1 (Lento),37,213.1370849898476,22
Alpha=0.1 (Lento),38,213.1370849898476,24
Alpha=0.1 (Lento),39,213.1370849898476,147
Alpha=0.1 (Lento),40,213.1370849898476,26
Alpha=0.1 (Lento),41,213.1370849898476,99
Alpha=0.1 (Lento),42,213.1370849898476,275
Alpha=0.1 (Lento),43,213.1370849898476,114
Alpha=0.1 (Lento),44,213.1370849898476,169
Alpha=0.1 (Lento),45,213.1370849898476,96
Alpha=0.1 (Lento),46,213.1370849898476,86
Alpha=0.1 (Lento),47,213.1370849898476,50
Alpha=0.1 (Lento),48,213.1370849898476,164
Alpha=0.1 (Lento),49,213.1370849898476,50
Alpha=0.1 (Lento),50,213.1370849898476,14
Alpha=0.5 (Medio),1,213.13708498984758,122
Alpha=0.5 (Medio),2,213.1370849898476,35
Alpha=0.5 (Medio),3,213.1370849898476,31
Alpha=0.5 (Medio),4,213.1370849898476,39
Alpha=0.5 (Medio),5,213.1370849898476,70
Alpha=0.5 (Medio),6,213.1370849898476,55
Alpha=0.5 (Medio),7,213.1370849898476,74
Alpha=0.5 (Medio),8,213.1370849898476,224
Alpha=0.5 (Medio),9,213.1370849898476,51
Alpha=0.5 (Medio),10,213.1370849898476,48
Alpha=0.5 (Medio),11,213.1370849898476,98
Alpha=0.5 (Medio),12,213.1370849898476,95
Alpha=0.5 (Medio),13,213.1370849898476,38
Alpha=0.5 (Medio),14,213.1370849898476,26
Alpha=0.5 (Medio),15,213.1370849898476,68
Alpha=0.5 (Medio),16,213.1370849898476,48
Alpha=0.5 (Medio),17,213.1370849898476,164
Alpha=0.5 (Medio),18,213.1370849898476,179
Alpha=0.5 (Medio),19,213.1370849898476,94
Alpha=0.5 (Medio),20,213.13708498984764,87
Alpha=0.5 (Medio),21,213.1370849898476,99
Alpha=0.5 (Medio),22,213.1370849898476,245
Alpha=0.5 (Medio),23,213.1370849898476,118
Alpha=0.5 (Medio),24,213.1370849898476,45
Alpha=0.5 (Medio),25,213.1370849898476,57
Alpha=0.5 (Medio),26,213.1370849898476,279
Alpha=0.5 (Medio),27,213.1370849898476,122
Alpha=0.5 (Medio),28,213.1370849898476,443
Alpha=0.5 (Medio),29,213.1370849898476,258
Alpha=0.5 (Medio),30,213.1370849898476,25
Alpha=0.5 (Medio),31,213.1370849898476,110
Alpha=0.5 (Medio),32,213.1370849898476,69
Alpha=0.5 (Medio),33,213.1370849898476,42
Alpha=0.5 (Medio),34,213.1370849898476,177
Alpha=0.5 (Medio),35,213.1370849898476,83
Alpha=0.5 (Medio),36,213.1370849898476,151
Alpha=0.5 (Medio),37,213.1370849898476,190
Alpha=0.5 (Medio),38,213.1370849898476,35
Alpha=0.5 (Medio),39,213.1370849898476,50
Alpha=0.5 (Medio),40,213.1370849898476,251
Alpha=0.5 (Medio),41,213.1370849898476,143
Alpha=0.5 (Medio),42,213.1370849898476,24
Alpha=0.5 (Medio),43,213.1370849898476,29
Alpha=0.5 (Medio),44,213.1370849898476,19
Alpha=0.5 (Medio),45,213.1370849898476,18
Alpha=0.5 (Medio),46,213.1370849898476,16
Alpha=0.5 (Medio),47,213.1370849898476,16
Alpha=0.5 (Medio),48,213.1370849898476,18
Alpha=0.5 (Medio),49,213.1370849898476,17
Alpha=0.5 (Medio),50,213.1370849898476,17
Alpha=0.9 (Rapido),1,213.1370849898476,104
Alpha=0.9 (Rapido),2,213.1370849898476,93
Alpha=0.9 (Rapido),3,213.1370849898476,32
Alpha=0.9 (Rapido),4,213.13708498984764,92
Alpha=0.9 (Rapido),5,213.1370849898476,109
Alpha=0.9 (Rapido),6,213.1370849898476,167
Alpha=0.9 (Rapido),7,213.1370849898476,55
Alpha=0.9 (Rapido),8,213.1370849898476,72
Alpha=0.9 (Rapido),9,213.1370849898476,50
Alpha=0.9 (Rapido),10,213.1370849898476,220
Alpha=0.9 (Rapido),11,213.13708498984764,209
Alpha=0.9 (Rapido),12,213.1370849898476,98
Alpha=0.9 (Rapido),13,213.1370849898476,111
Alpha=0.9 (Rapido),14,213.1370849898476,107
Alpha=0.9 (Rapido),15,213.1370849898476,216
Alpha=0.9 (Rapido),16,213.1370849898476,24
Alpha=0.9 (Rapido),17,213.13708498984764,42
Alpha=0.9 (Rapido),18,213.1370849898476,48
Alpha=0.9 (Rapido),19,213.1370849898476,87
Alpha=0.9 (Rapido),20,213.1370849898476,306
Alpha=0.9 (Rapido),21,213.1370849898476,192
Alpha=0.9 (Rapido),22,213.1370849898476,233
Alpha=0.9 (Rapido),23,213.1370849898476,219
Alpha=0.9 (Rapido),24,213.1370849898476,84
Alpha=0.9 (Rapido),25,213.1370849898476,72
Alpha=0.9 (Rapido),26,213.1370849898476,155
Alpha=0.9 (Rapido),27,213.1370849898476,245
Alpha=0.9 (Rapido),28,213.1370849898476,21
Alpha=0.9 (Rapido),29,213.13708498984764,32
Alpha=0.9 (Rapido),30,213.1370849898476,42
Alpha=0.9 (Rapido),31,213.1370849898476,26
Alpha=0.9 (Rapido),32,213.1370849898476,85
Alpha=0.9 (Rapido),33,213.13708498984764,35
Alpha=0.9 (Rapido),34,213.1370849898476,30
Alpha=0.9 (Rapido),35,213.1370849898476,24
Alpha=0.9 (Rapido),36,213.1370849898476,65
Alpha=0.9 (Rapido),37,213.1370849898476,18
Alpha=0.9 (Rapido),38,213.1370849898476,57
Alpha=0.9 (Rapido),39,213.1370849898476,75
Alpha=0.9 (Rapido),40,213.1370849898476,88
Alpha=0.9 (Rapido),41,213.1370849898476,35
Alpha=0.9 (Rapido),42,213.1370849898476,90
Alpha=0.9 (Rapido),43,213.1370849898476,53
Alpha=0.9 (Rapido),44,213.1370849898476,38
Alpha=0.9 (Rapido),45,213.1370849898476,119
Alpha=0.9 (Rapido),46,213.1370849898476,19
Alpha=0.9 (Rapido),47,213.1370849898476,23
Alpha=0.9 (Rapido),48,213.1370849898476,128
Alpha=0.9 (Rapido),49,213.1370849898476,36
Alpha=0.9 (Rapido),50,213.1370849898476,24
